read group,code,format,segment,reason,failed read count,total read count
UGAv3-989,8,no trimming,insert,rsq file,14773,20551
UGAv3-990,8,no trimming,insert,rsq file,4539,7305
UGAv3-991,8,no trimming,insert,rsq file,46343,49803
UGAv3-993,8,no trimming,insert,rsq file,5967,8050
UGAv3-995,8,no trimming,insert,rsq file,1475,5926
UGAv3-997,8,no trimming,insert,rsq file,2377,3440
UGAv3-998,8,no trimming,insert,rsq file,4718,6088
UGAv3-999,8,no trimming,insert,rsq file,3329,7169
UNKN,8,no trimming,insert,rsq file,388099835,543746248
Z0001,8,10x V3 5p,start,rsq file,505570269,2776578916
Z0001,103,10x V3 5p,Illumina R1 adapter,no match,262506,2776578916
Z0001,201,10x V3 5p,CBC,sequence was too short,9268,2776578916
Z0001,203,10x V3 5p,CBC,no match,250347483,2776578916
Z0001,207,10x V3 5p,CBC,ambiguous match,5077546,2776578916
Z0001,301,10x V3 5p,UMI,sequence was too short,15163892,2776578916
Z0001,302,10x V3 5p,UMI,sequence was too long,38274220,2776578916
Z0001,303,10x V3 5p,UMI,no match,972,2776578916
Z0001,403,10x V3 5p,TSO,no match,89089449,2776578916
Z0001,501,10x V3 5p,low quality bases,sequence was too short,422,2776578916
Z0001,601,10x V3 5p,insert,sequence was too short,921668,2776578916
Z0002,8,10x V3 5p,start,rsq file,602526754,3190586372
Z0002,103,10x V3 5p,Illumina R1 adapter,no match,354512,3190586372
Z0002,201,10x V3 5p,CBC,sequence was too short,10604,3190586372
Z0002,203,10x V3 5p,CBC,no match,288560335,3190586372
Z0002,207,10x V3 5p,CBC,ambiguous match,6005164,3190586372
Z0002,301,10x V3 5p,UMI,sequence was too short,17673857,3190586372
Z0002,302,10x V3 5p,UMI,sequence was too long,43349547,3190586372
Z0002,303,10x V3 5p,UMI,no match,1194,3190586372
Z0002,403,10x V3 5p,TSO,no match,104876938,3190586372
Z0002,501,10x V3 5p,low quality bases,sequence was too short,474,3190586372
Z0002,601,10x V3 5p,insert,sequence was too short,970725,3190586372
Z0003,8,10x V3 5p,start,rsq file,508416975,2693956021
Z0003,103,10x V3 5p,Illumina R1 adapter,no match,269221,2693956021
Z0003,201,10x V3 5p,CBC,sequence was too short,8570,2693956021
Z0003,203,10x V3 5p,CBC,no match,240808705,2693956021
Z0003,207,10x V3 5p,CBC,ambiguous match,4810346,2693956021
Z0003,301,10x V3 5p,UMI,sequence was too short,14657138,2693956021
Z0003,302,10x V3 5p,UMI,sequence was too long,36605108,2693956021
Z0003,303,10x V3 5p,UMI,no match,983,2693956021
Z0003,403,10x V3 5p,TSO,no match,85070842,2693956021
Z0003,501,10x V3 5p,low quality bases,sequence was too short,436,2693956021
Z0003,601,10x V3 5p,insert,sequence was too short,816871,2693956021
Z0004,8,10x V3 5p,start,rsq file,349434837,1879601441
Z0004,103,10x V3 5p,Illumina R1 adapter,no match,167824,1879601441
Z0004,201,10x V3 5p,CBC,sequence was too short,6335,1879601441
Z0004,203,10x V3 5p,CBC,no match,177346724,1879601441
Z0004,207,10x V3 5p,CBC,ambiguous match,3765959,1879601441
Z0004,301,10x V3 5p,UMI,sequence was too short,10336869,1879601441
Z0004,302,10x V3 5p,UMI,sequence was too long,25550742,1879601441
Z0004,303,10x V3 5p,UMI,no match,690,1879601441
Z0004,403,10x V3 5p,TSO,no match,62335964,1879601441
Z0004,501,10x V3 5p,low quality bases,sequence was too short,267,1879601441
Z0004,601,10x V3 5p,insert,sequence was too short,602388,1879601441
Z0005,8,10x-V3-5p-CRISPR,start,rsq file,25486754,232892193
Z0005,103,10x-V3-5p-CRISPR,Illumina R1 adapter,no match,45242,232892193
Z0005,201,10x-V3-5p-CRISPR,CBC,sequence was too short,955,232892193
Z0005,203,10x-V3-5p-CRISPR,CBC,no match,4504700,232892193
Z0005,207,10x-V3-5p-CRISPR,CBC,ambiguous match,236825,232892193
Z0005,301,10x-V3-5p-CRISPR,UMI,sequence was too short,946936,232892193
Z0005,302,10x-V3-5p-CRISPR,UMI,sequence was too long,5085830,232892193
Z0005,303,10x-V3-5p-CRISPR,UMI,no match,39,232892193
Z0005,403,10x-V3-5p-CRISPR,TSO,no match,581165,232892193
Z0005,501,10x-V3-5p-CRISPR,insert,sequence was too short,908,232892193
Z0006,8,10x-V3-5p-CRISPR,start,rsq file,19002615,175820756
Z0006,103,10x-V3-5p-CRISPR,Illumina R1 adapter,no match,40098,175820756
Z0006,201,10x-V3-5p-CRISPR,CBC,sequence was too short,666,175820756
Z0006,203,10x-V3-5p-CRISPR,CBC,no match,3389163,175820756
Z0006,207,10x-V3-5p-CRISPR,CBC,ambiguous match,171984,175820756
Z0006,301,10x-V3-5p-CRISPR,UMI,sequence was too short,677155,175820756
Z0006,302,10x-V3-5p-CRISPR,UMI,sequence was too long,3940957,175820756
Z0006,303,10x-V3-5p-CRISPR,UMI,no match,34,175820756
Z0006,403,10x-V3-5p-CRISPR,TSO,no match,464683,175820756
Z0006,501,10x-V3-5p-CRISPR,insert,sequence was too short,609,175820756
Z0007,8,10x-V3-5p-CRISPR,start,rsq file,13074821,126154697
Z0007,103,10x-V3-5p-CRISPR,Illumina R1 adapter,no match,16591,126154697
Z0007,201,10x-V3-5p-CRISPR,CBC,sequence was too short,556,126154697
Z0007,203,10x-V3-5p-CRISPR,CBC,no match,2383343,126154697
Z0007,207,10x-V3-5p-CRISPR,CBC,ambiguous match,118641,126154697
Z0007,301,10x-V3-5p-CRISPR,UMI,sequence was too short,450767,126154697
Z0007,302,10x-V3-5p-CRISPR,UMI,sequence was too long,2701524,126154697
Z0007,303,10x-V3-5p-CRISPR,UMI,no match,20,126154697
Z0007,403,10x-V3-5p-CRISPR,TSO,no match,272867,126154697
Z0007,501,10x-V3-5p-CRISPR,insert,sequence was too short,535,126154697
Z0008,8,10x-V3-5p-CRISPR,start,rsq file,11240956,124319983
Z0008,103,10x-V3-5p-CRISPR,Illumina R1 adapter,no match,14076,124319983
Z0008,201,10x-V3-5p-CRISPR,CBC,sequence was too short,548,124319983
Z0008,203,10x-V3-5p-CRISPR,CBC,no match,2442683,124319983
Z0008,207,10x-V3-5p-CRISPR,CBC,ambiguous match,136960,124319983
Z0008,301,10x-V3-5p-CRISPR,UMI,sequence was too short,483151,124319983
Z0008,302,10x-V3-5p-CRISPR,UMI,sequence was too long,2747453,124319983
Z0008,303,10x-V3-5p-CRISPR,UMI,no match,18,124319983
Z0008,403,10x-V3-5p-CRISPR,TSO,no match,252258,124319983
Z0008,501,10x-V3-5p-CRISPR,insert,sequence was too short,493,124319983
Z0009,8,no trimming,insert,rsq file,3618,9834
Z0010,8,no trimming,insert,rsq file,7603,15354
Z0011,8,no trimming,insert,rsq file,5557,12107
Z0012,8,no trimming,insert,rsq file,11795,16755
Z0013,8,no trimming,insert,rsq file,175831,193221
Z0014,8,no trimming,insert,rsq file,3085,4335
Z0015,8,no trimming,insert,rsq file,61964,89551
Z0016,8,no trimming,insert,rsq file,21638,56246
Z0017,8,no trimming,insert,rsq file,1584,5566
Z0018,8,no trimming,insert,rsq file,28634,74148
Z0019,8,no trimming,insert,rsq file,21441,60426
Z0020,8,no trimming,insert,rsq file,14409,24278
Z0021,8,no trimming,insert,rsq file,17861,59989
Z0022,8,no trimming,insert,rsq file,5971,12619
Z0023,8,no trimming,insert,rsq file,7882,31055
Z0024,8,no trimming,insert,rsq file,12093,26383
Z0025,8,no trimming,insert,rsq file,9633,16270
Z0026,8,no trimming,insert,rsq file,19851,29783
Z0027,8,no trimming,insert,rsq file,5294,15856
Z0028,8,no trimming,insert,rsq file,10219,15653
Z0029,8,no trimming,insert,rsq file,9300,23811
Z0030,8,no trimming,insert,rsq file,26091,37855
Z0031,8,no trimming,insert,rsq file,70184,72454
Z0032,8,no trimming,insert,rsq file,40524,52959
Z0033,8,no trimming,insert,rsq file,25185,32306
Z0034,8,no trimming,insert,rsq file,150162,157222
Z0035,8,no trimming,insert,rsq file,10875,17346
Z0036,8,no trimming,insert,rsq file,2466,5838
Z0037,8,no trimming,insert,rsq file,1061,3628
