read group,format,segment index,segment label,is required,is trimmed,num input reads,num prefiltered reads,num failed reads,num discarded reads,num filtered reads,num trimmed reads,num failures,num matches,num matched bases
UGAv3-932,no trimming,0,insert,False,False,3882,0,1229,0,0,0,1229,2653,805538
UGAv3-933,no trimming,0,insert,False,False,5548,0,3230,0,0,0,3230,2318,663304
UGAv3-934,no trimming,0,insert,False,False,41681,0,36161,0,0,0,36161,5520,1657163
UGAv3-935,no trimming,0,insert,False,False,13547,0,2858,0,0,0,2858,10689,3195049
UGAv3-936,no trimming,0,insert,False,False,39991,0,36815,0,0,0,36815,3176,941468
UGAv3-937,no trimming,0,insert,False,False,4558,0,3075,0,0,0,3075,1483,432242
UGAv3-938,no trimming,0,insert,False,False,146694,0,130670,0,0,0,130670,16024,4773667
UGAv3-939,no trimming,0,insert,False,False,23081,0,5357,0,0,0,5357,17724,5217774
UGAv3-940,no trimming,0,insert,False,False,40075,0,19814,0,0,0,19814,20261,6123171
UGAv3-941,no trimming,0,insert,False,False,10092,0,7509,0,0,0,7509,2583,785954
UGAv3-942,no trimming,0,insert,False,False,6719,0,2363,0,0,0,2363,4356,1273844
UGAv3-943,no trimming,0,insert,False,False,15265,0,6428,0,0,0,6428,8837,2633943
UGAv3-944,no trimming,0,insert,False,False,805835,0,803635,0,0,0,803635,2200,529870
UGAv3-945,no trimming,0,insert,False,False,25487,0,6191,0,0,0,6191,19296,5784647
UGAv3-946,no trimming,0,insert,False,False,8696,0,4028,0,0,0,4028,4668,1403066
UGAv3-947,no trimming,0,insert,False,False,15878,0,11394,0,0,0,11394,4484,1353471
UGAv3-948,no trimming,0,insert,False,False,35081,0,30705,0,0,0,30705,4376,1316263
UGAv3-950,no trimming,0,insert,False,False,6851,0,5490,0,0,0,5490,1361,403205
